CountyName,Address,Contact,CountyOfficials
"Columbia County Board of Elections","401 State Street  | Hudson NY 12534","PHONE: 518-828-3115 | FAX: 518-828-2624 | EMAIL: elections@columbiacountyny.gov | URL: https://elections.columbiacountyny.com/","Mara Estribou Commissioner DEM | Kelly Miller-Simmons Commissioner REP | Beth Slotter Deputy Commissioner DEM | Jody Nesbitt Deputy Commissioner REP",
"Cortland County Board of Elections","112 River Street Suite 1 | Cortland NY 13045","PHONE: 607-753-5032 | FAX: 607-758-5513 | EMAIL: elections@cortlandcountyny.gov | URL: http://www.cortlandcountyny.gov/182/Elections","Thomas Henry Brown Commissioner DEM | Michelle S Phelps Commissioner REP | Angela Burchfield Deputy Commissioner DEM | Karen AC Jenney Deputy Commissioner REP",
"Delaware County Board of Elections","97 Main Street Suite 5 | Delhi NY 13753","PHONE: 607-832-5321 | FAX: 607-832-6077 | EMAIL: boe.move@delcony.gov | URL: delcony.gov/departments/elec/elec.htm","Judith Garrison Commissioner DEM | Maria Kelso Commissioner REP | Paula Schermerhorn Deputy Commissioner DEM | Christine Boest Deputy Commissioner REP",
"Dutchess County Board of Elections","112 Delafield Street Suite 200 | Poughkeepsie NY 12601","PHONE: 845-486-2473 | FAX: 845-486-2483 | EMAIL: dutchesselections@dutchessny.gov | URL: https://www.elections.dutchessny.gov/","Lisa Jessup Commissioner DEM | Erik Haight Commissioner REP | Gillian Smith Deputy Commissioner DEM | Erin Reverri Deputy Commissioner REP",
"Erie County Board of Elections","134 West Eagle Street  | Buffalo NY 14202","PHONE: 716-858-8891 | FAX: 716-858-8282 | EMAIL:  | URL: https://elections.erie.gov/","Howard Johnson Commissioner DEM | Ralph Mohr Commissioner REP | Terrence MacKinnon Deputy Commissioner DEM | Robin Sion Deputy Commissioner REP",
"Essex County Board of Elections","7551 Court Street P.O. Box 217 | Elizabethtown NY 12932","PHONE: 518-873-3474 | FAX: 518-873-3479 | EMAIL: elections@essexcountyny.gov | URL: https://essexcountyny.gov/board-of-elections/","Mary McGowan Commissioner DEM | Roy Holzer Commissioner REP | Jennifer L Fifield Deputy Commissioner DEM | Krista Moran Deputy Commissioner REP",
"Franklin County Board of Elections","355 West Main Street Suite 161 | Malone NY 12953","PHONE: 518-481-1663 | FAX: 518-481-6018 | EMAIL: boe@franklincountyny.gov | URL: https://www.franklincountyny.gov/departments/administrative/board_of_elections/index.php","Brandon J Varin Commissioner DEM | Tracy Sparks Commissioner REP | Eric Barney Deputy Commissioner DEM | Bridget Furman Deputy Commissioner REP",
"Fulton County Board of Elections","2714 State Highway 29 Suite 1 | Johnstown NY 12095","PHONE: 518-736-5526 | FAX: 518-736-1612 | EMAIL: boe@fultoncountyny.gov | URL: https://www.fultoncountyny.gov/board-elections","Robin Wentworth Commissioner DEM | William E Eschler Commissioner REP | Rebecca Weiderman Deputy Commissioner DEM | Cinda J Spraker Deputy Commissioner REP",
"Genesee County Board of Elections","County Building One - 15 Main Street  | Batavia NY 14021","PHONE: 585-815-7804 | FAX: 585-344-8562 | EMAIL: election.dept@geneseeny.gov | URL: https://www.geneseeny.gov/Department-Content/Board-of-Elections","Lorie J Longhany Commissioner DEM | Scott German Commissioner REP | Karen S Gannon Deputy Commissioner DEM | Melissa L Gaebler Deputy Commissioner REP",
"Greene County Board of Elections","411 Main Street Suite 437 | Catskill NY 12414","PHONE: 518-719-3550 | FAX: 518-719-3784 | EMAIL: elections@greenecountyny.gov | URL: https://greenecountyny.gov/departments/board-of-elections/","Debbie Fromer Commissioner DEM | Brent Bogardus Commissioner REP | Rebecca Cinatti Deputy Commissioner DEM | Elisa Schieren Deputy Commissioner REP",
"Hamilton County Board of Elections","Route 8 P.O. Box 175 | Lake Pleasant NY 12108","PHONE: 518-548-4684 | FAX: 518-548-6345 | EMAIL: elections@hamiltoncountyny.gov | URL: https://www.hamiltoncountyny.gov/elections","Jade Sherman Commissioner DEM | Darrin Harr Commissioner REP | Richard Mayers Deputy Commissioner DEM | William Farber Deputy Commissioner REP",
"Herkimer County Board of Elections","109 Mary Street Suite 1306 | Herkimer NY 13350","PHONE: 315-867-1102 | FAX: 315-867-1106 | EMAIL: hcboe@herkimercountyny.gov | URL: https://www.herkimercountyny.gov/government/board-of-elections/","Robert Hoyt Commissioner DEM | Teresa Robotham Commissioner REP | Jon Karaffa Deputy Commissioner DEM | Cody Keeler Deputy Commissioner REP",
"Jefferson County Board of Elections","175 Arsenal Street  | Watertown NY 13601","PHONE: 315-785-3027 | FAX: 315-785-5197 | EMAIL: elections@jeffersoncountyny.gov | URL: https://www.jeffersoncountyny.gov/departments/Elections","Michelle LaFave Commissioner DEM | Tiffany Ladd Commissioner REP | Tammy Gollaher Deputy Commissioner DEM | Heather Chaffee Deputy Commissioner REP",
"Kings County Board of Elections","345 Adams Street 4th Floor | Brooklyn NY 11201","PHONE: 718-797-8800 | FAX: 718-246-5958 | EMAIL: voterreg@boe.nyc.ny.us | URL: https://vote.nyc/","Frank Seddio Commissioner DEM | Simon Shamoun Commissioner REP",
"Lewis County Board of Elections","7513 E State St  | Lowville NY 13367","PHONE: 315-376-5329 | FAX: 315-376-2860 | EMAIL: boe@lewiscounty.ny.gov | URL: https://lewiscountyny.gov/departments/board-of-elections/","Lindsay Burriss Commissioner DEM | Ramona Carpenter Commissioner REP | Hannah Wilson Deputy Commissioner DEM | Devin C Kogut Deputy Commissioner REP",
"Livingston County Board of Elections","County Government Center - 6 Court Street Room 104 | Geneseo NY 14454","PHONE: 585-243-7090 | FAX: 585-243-7015 | EMAIL: election@livingstoncountyny.gov | URL: https://www.livingstoncountyny.gov/123/Board-of-Elections","David DiPasquale Commissioner DEM | Gary Nageldinger Commissioner REP | Amanda Coniglio Deputy Commissioner DEM | Alicia Strain Deputy Commissioner REP",
"Madison County Board of Elections","County Office Building - North Court Street P.O. Box 666 | Wampsville NY 13163","PHONE: 315-366-2231 | FAX: 315-366-2532 | EMAIL: BOEcommissioners@madisoncounty.ny.gov | URL: https://www.madisoncounty.ny.gov/3009/Board-of-Elections","Laura Martino Commissioner DEM | Mary Egger Commissioner REP | Margaret Conley Deputy Commissioner DEM | Kathy Slade Deputy Commissioner REP",
"Monroe County Board of Elections","435 Smith St  | Rochester NY 14608","PHONE: 585-753-1550 | FAX: 585-324-1612 | EMAIL: mcboe@monroecounty.gov | URL: https://www.monroecounty.gov/elections","Jacklyn Ortiz Commissioner DEM | Peter Elder Commissioner REP | Natalie Sheppard Deputy Commissioner DEM | David Reilich Deputy Commissioner REP",
"Montgomery County Board of Elections","Old Courthouse - 9 Park Street P.O. Box 1500 | Fonda NY 12068","PHONE: 518-853-8180 | FAX: 518-853-8392 | EMAIL: BOE@montgomerycountyny.gov | URL: https://www.montgomerycountyny.gov/web/sites/departments/boe/","Caroline Swartz Commissioner DEM | Shawnna Weaver Commissioner REP | Jessica Daniels Deputy Commissioner DEM | Violet Capece Deputy Commissioner REP",
"Nassau County Board of Elections","240 Old Country Road 5th Floor | Mineola NY 11501","PHONE: 516-571-8683 | FAX: 516-571-2058 | EMAIL: InfoBOE@nassaucountyny.gov | URL: https://www.nassaucountyny.gov/566/Board-of-Elections","James Scheuerman Commissioner DEM | James V Moriarty Commissioner REP",
"New York City Board of Elections","32 Broadway 7th Floor | New York NY 10004","PHONE: 212-487-5300 | FAX: 212-487-5349 | EMAIL: electioninfo@boe.nyc.ny.us | URL: https://vote.nyc/","Michael J Ryan Executive Director DEM | Vincent M Ignizio Deputy Executive Director REP | Michael Corbett Administrative Manager DEM | Georgea Kontzamanis Operations Manager REP",
"New York County Board of Elections","200 Varick Street 10th Floor | New York NY 10014","PHONE: 212-886-2100 | FAX: 646-638-2047 | EMAIL: voterreg@boe.nyc.ny.us | URL: https://vote.nyc/","Marc Landis Commissioner DEM | Frederic M Umane Commissioner REP",
"Niagara County Board of Elections","111 Main Street Suite 100 | Lockport NY 14094","PHONE: 716-438-4040 | FAX: 716-438-4054 | EMAIL: ncboe@niagaracounty.gov | URL: https://elections.niagaracounty.gov/","Lora A Allen Commissioner DEM | Jennifer Sandonato Commissioner REP |  Vacant Deputy Commissioner DEM | Michael Carney Deputy Commissioner REP",
"Oneida County Board of Elections","Union Station 321 Main Street - 3rd Floor | Utica NY 13501","PHONE: 315-798-5765 | FAX: 315-798-6412 | EMAIL: BoardofElections@oneidacountyny.gov | URL: https://oneidacountynyvotes.gov/","Sarah Bormann Commissioner DEM | Nichole Shortell Commissioner REP | Amela Hrustic Deputy Commissioner DEM | Julia Cusworth Deputy Commissioner REP",
"Onondaga County Board of Elections","1000 Erie Boulevard West  | Syracuse NY 13204","PHONE: 315-435-3312 | FAX: 315-435-8451 | EMAIL: elections@onondaga.gov | URL: https://onondaga.gov/elections/","Dustin M Czarny Commissioner DEM | Kevin Ryan Commissioner REP | Desiree LaFave Deputy Commissioner DEM | Nicole Walsh Deputy Commissioner REP",
"Ontario County Board of Elections","74 Ontario Street  | Canandaigua NY 14424","PHONE: 585-396-4005 | FAX: 585-393-2941 | EMAIL: BOE@ontariocountyny.gov | URL: https://www.ontariocountyny.gov/107/Board-of-Elections","Albert J Magnan Commissioner DEM | Adeline Rudolph Commissioner REP | Elizabeth Yockel Deputy Commissioner DEM | Jake Chard Deputy Commissioner REP",
"Orange County Board of Elections","75 Webster Avenue P.O. Box 30 | Goshen NY 10924","PHONE: 845-360-6500 | FAX: 845-291-2437 | EMAIL: elections@orangecountygov.com | URL: https://www.orangecountygov.com/783/Board-of-Elections","Louise Vandemark Commissioner DEM | Courtney Canfield Green Commissioner REP | Susan McDonald Deputy Commissioner DEM | Chandler Campbell Deputy Commissioner REP",
"Orleans County Board of Elections","14016 State Route 31 West Suite 140 | Albion NY 14411","PHONE: 585-589-3274 | FAX: 585-589-2771 | EMAIL: elections@orleanscountyny.gov | URL: https://orleanscountyny.gov/government/elections/","Janice E Grabowski Commissioner DEM | Michael Mele Commissioner REP | Abby Fitzwater Deputy Commissioner DEM | Christine Pask Deputy Commissioner REP",
"Oswego County Board of Elections","74 Bunner St  | Oswego NY 13126","PHONE: 315-349-8350 | FAX: 315-349-8357 | EMAIL: OswegoCounty.BOE@oswegocountyny.gov | URL: https://www.oswegocountyny.gov/government/board_of_elections/index.php","Matthew Fleming Commissioner DEM | Stacy Teifke Commissioner REP | Crystal Hutchinson Deputy Commissioner DEM | Marianne B Ingerson Deputy Commissioner REP",
"Otsego County Board of Elections","140 County Highway 33W Suite 2 | Cooperstown NY 13326","PHONE: 607-547-4247 | FAX: 607-547-4248 | EMAIL: boe@otsegocountyny.gov | URL: https://www.otsegocountyny.gov/departments/board_of_elections/index.php","Michael Henrici Commissioner DEM | Lori L Lehenbauer Commissioner REP | Cora Dawson Deputy Commissioner DEM | Christina Morrision Deputy Commissioner REP",
"Putnam County Board of Elections","25 Old Route 6  | Carmel NY 10512","PHONE: 845-808-1300 | FAX: 845-808-1920 | EMAIL: boe@putnamcountyny.gov | URL: https://boe.putnamcountyny.gov/","Catherine P Croft Commissioner DEM | Kelly K Primavera Commissioner REP | Andrea Basli Deputy Commissioner DEM | Barbara A Corrao Deputy Commissioner REP",
"Queens County Board of Elections","118-35 Queens Boulevard 11th Floor | Forest Hills NY 11375","PHONE: 718-730-6730 | FAX: 718-459-3384 | EMAIL: voterreg@boe.nyc.ny.us | URL: https://vote.nyc/","Jose M Araujo Commissioner DEM | Keith Sullivan Commissioner REP",
"Rensselaer County Board of Elections","Ned Pattison Government Center 1600 Seventh Avenue | Troy NY 12180","PHONE: 518-270-2990 | FAX: 518-270-2909 | EMAIL: RenscoBOE@renscony.gov | URL: https://www.rensco.com/429/Elections","Mary Sweeney Commissioner DEM | Henry Zwack Commissioner REP",
"Richmond County Board of Elections","1 Edgewater Plaza 4th Floor | Staten Island NY 10305","PHONE: 718-876-0079 | FAX: 718-876-0912 | EMAIL: voterreg@boe.nyc.ny.us | URL: https://vote.nyc/","Michele Sileo Commissioner DEM | Michael J Coppotelli Commissioner REP",
"Rockland County Board of Elections","11 New Hempstead Road  | New City NY 10956","PHONE: 845-638-5172 | FAX: 845-638-5196 | EMAIL: voterinfo@co.rockland.ny.us | URL: https://www.rocklandcountyny.gov/departments/board-of-elections","Allison Weinraub Commissioner DEM | Patricia A Giblin Commissioner REP | Michelle Reilly Deputy Commissioner DEM | Marino Fontana Deputy Commissioner REP",
"Saratoga County Board of Elections","50 West High Street  | Ballston Spa NY 12020","PHONE: 518-885-2249 | FAX: 518-884-4751 | EMAIL: BOE@saratogacountyny.gov | URL: https://www.saratogacountyny.gov/departments/board-of-elections/","Cassandra Bagramian Commissioner DEM | Joe Suhrada Commissioner REP | Samuel Olsen Deputy Commissioner DEM | Jennifer Weaver Deputy Commissioner REP",
"Schenectady County Board of Elections","2696 Hamburg Street Suite 1 | Schenectady NY 12303","PHONE: 518-377-2469 | FAX: 518-377-2716 | EMAIL: boe@schenectadycountyny.gov | URL: https://www.schenectadycountyny.gov/boe","Laura Fronk Commissioner DEM | Darlene Harris Commissioner REP | Cindy Vincitore Deputy Commissioner DEM | Loretta Rigney Deputy Commissioner REP",
"Schoharie County Board of Elections","County Office Building - 284 Main Street P.O. Box 99 | Schoharie NY 12157","PHONE: 518-295-8388 | FAX: 518-295-8419 | EMAIL: boe@SchoharieCounty-NY.gov | URL: https://www.schohariecounty-ny.gov/departments/board_of_elections/index.php","Terry Burton Commissioner DEM | Kenneth J Schweigard Commissioner REP | Sara Masterson Deputy Commissioner DEM | Benjamin Cooper Deputy Commissioner REP",
"Schuyler County Board of Elections","County Office Building - 105 9th Street Unit 13 | Watkins Glen NY 14891","PHONE: 607-535-8195 | FAX: 607-535-8364 | EMAIL: elections@schuylercountyny.gov | URL: https://www.schuylercountyny.gov/128/Board-of-Elections","Brian Eslinger Commissioner DEM | Joseph Fazzary Commissioner REP | Elena Deustua Deputy Commissioner DEM | Maggie Barrett Deputy Commissioner REP",
"Seneca County Board of Elections","One DiPronio Drive  | Waterloo NY 13165","PHONE: 315-539-1760 | FAX: 315-539-3710 | EMAIL: boe@co.seneca.ny.us | URL: https://www.senecacountyny.gov/gov/elections/","Carl J Same Commissioner DEM | Tiffany Folk Commissioner REP | Heidi Conley Deputy Commissioner DEM | Kristofer Fisher Deputy Commissioner REP",
"St. Lawrence County Board of Elections","80 State Highway 310  | Canton NY 13617","PHONE: 315-379-2202 | FAX: 315-386-2737 | EMAIL: slcballot@stlawco.gov | URL: https://stlawco.gov/Departments/BoardofElections","Jennie H Bacon Commissioner DEM | Thomas A Nichols Commissioner REP | Gordon Ward Deputy Commissioner DEM | Jesse Sovie Deputy Commissioner REP",
"Steuben County Board of Elections","3 East Pulteney Square  | Bath NY 14810","PHONE: 607-664-2260 | FAX: 607-664-2376 | EMAIL: elections@SteubenCountyNY.gov | URL: https://www.steubencountyny.gov/469/Board-of-Elections","Colleen A Hauryski Commissioner DEM | Bryan Housel Commissioner REP | Chad Cleland Deputy Commissioner DEM | Angelia M Cornish Deputy Commissioner REP",
"Suffolk County Board of Elections","700 Yaphank Avenue P.O. Box 700 | Yaphank NY 11980","PHONE: 631-852-4500 | FAX: 631-852-4590 | EMAIL: BOEinfo@suffolkcountyny.gov | URL: https://suffolkcountyny.gov/Departments/BOE","John Alberts Commissioner DEM | Erin McTiernan Commissioner REP | Gail M Lolis Deputy Commissioner DEM | Betty Manzella Deputy Commissioner REP",
"Sullivan County Board of Elections","Government Center - 100 North Street P.O. Box 5012 | Monticello NY 12701-5192","PHONE: 845-807-0400 | FAX: 845-807-0410 | EMAIL: scboe@sullivanny.gov | URL: https://www.sullivanny.gov/Departments/Elections","Deanna Senyk Commissioner DEM | Pam Murran Commissioner REP | Erica Heins Deputy Commissioner DEM | Carmen Staudt Deputy Commissioner REP",
"Tioga County Board of Elections","1062 State Route 38 P.O. Box 306 | Owego NY 13827","PHONE: 607-687-8261 | FAX: 607-687-6348 | EMAIL: votetioga@tiogacountyny.gov | URL: https://www.tiogacountyny.com/departments/board-of-elections/","James Wahls Commissioner DEM | Kelly Johnson Commissioner REP | Amber Duke Deputy Commissioner DEM | James Hoover Deputy Commissioner REP",
"Tompkins County Board of Elections","Court House Annex 128 East Buffalo Street | Ithaca NY 14850","PHONE: 607-274-5522 | FAX: 607-274-5533 | EMAIL: elections@tompkins-co.org | URL: https://www.tompkinscountyny.gov/boe","Stephen M DeWitt Commissioner DEM | Alanna CH Congdon Commissioner REP | Elizabeth Livesay Deputy Commissioner DEM | Diane Orlowski Deputy Commissioner REP",
"Ulster County Board of Elections","79 Hurley Avenue Suite 112 | Kingston NY 12401","PHONE: 845-334-5470 | FAX: 845-334-5434 | EMAIL: elections@ulstercountyny.gov | URL: https://elections.ulstercountyny.gov/","Ashley Torres Commissioner DEM | Vacant Commissioner REP | Jen Bloom Deputy Commissioner DEM | Keri Williams Deputy Commissioner REP",
"Warren County Board of Elections","County Municipal Center - Human Services Building 1340 State Route 9 - 3rd Floor | Lake George NY 12845","PHONE: 518-761-6456 | FAX: 518-761-6480 | EMAIL: boe@warrencountyny.gov | URL: https://www.warrencountyny.gov/boe/","Elizabeth J McLaughlin Commissioner DEM | Harold Hubbard Commissioner REP | Kimberly Ross Deputy Commissioner DEM | Caroline Clesceri Deputy Commissioner REP",
"Washington County Board of Elections","383 Broadway  | Fort Edward NY 12828","PHONE: 518-746-2180 | FAX: 518-746-2179 | EMAIL: BoardofElections@Washingtoncountyny.gov&#160; | URL: https://www.washingtoncountyny.gov/197/Board-of-Elections","Jeffrey J Curtis Commissioner DEM | Stacey Baker Commissioner REP | Melinda Suprenant Deputy Commissioner DEM | Elizabeth Ashley Skogsberg Deputy Commissioner REP",
"Wayne County Board of Elections","7376 State Route 31 P.O. Box 636 | Lyons NY 14489","PHONE: 315-946-7400 | FAX: 315-946-7409 | EMAIL: elections@waynecountyny.gov | URL: https://www.waynecountyny.gov/277/Elections","Kristin Victorious Commissioner DEM | Mindy Robinson Commissioner REP | Ryan Brotons Deputy Commissioner DEM | Betty Rose Chardeen Deputy Commissioner REP",
"Westchester County Board of Elections","445 Hamilton Ave 8th FL | White Plains NY 10601","PHONE: 914-995-5700 | FAX: 914-995-3190 | EMAIL: BOE-West@westchestercountyny.gov | URL: https://citizenparticipation.westchestercountyny.gov/","Tajian Nelson Commissioner DEM | Douglas A Colety Commissioner REP | Frank S Corvino Deputy Commissioner DEM | Christine Sculti Deputy Commissioner REP",
"Wyoming County Board of Elections","4 Perry Avenue  | Warsaw NY 14569","PHONE: 585-786-8931 | FAX: 585-786-8843 | EMAIL: boewyoming@wyomingcountyny.gov | URL: https://www.wyomingcountyny.gov/162/Board-of-Elections","Harold Bush Commissioner DEM | James E Schlick Commissioner REP | Candy Salmon Deputy Commissioner DEM | Alicia J Brunner Deputy Commissioner REP",
"Yates County Board of Elections","417 Liberty Street Suite 1124 | Penn Yan NY 14527","PHONE: 315-536-5135 | FAX: 315-536-5523 | EMAIL: boardofelections@yatescountyny.gov | URL: https://www.yatescountyny.gov/300/Board-of-Elections","Robert Brechko Commissioner DEM | Sheila Burt Commissioner REP | Ruth Bouchard Deputy Commissioner DEM | Sandy Burt Deputy Commissioner REP",
