"filer_name","election_year","jurisdiction","office","position","party","contributions_amount","expenditures_amount","debts_amount","independent_expenditures_for_amount","independent_expenditures_against_amount","jurisdiction_type","candidacy_id","jurisdiction_code","declared","withdrew","discontinued"
"Aaron Garcia","2019","HIGHLINE SD 401","SCHOOL DIRECTOR","1",,"9260.55","8796.80","0.0","0","0","Local","18519","3408","2019-05-20T00:00:00.000",,
"Aaron Gerber","2025","OTHELLO SD 147 *","SCHOOL DIRECTOR","1",,"0.0","0.00","0.0","0","0","Local","3324066","3839","2025-05-06T00:00:00.000",,
"Aaron Gerber","2023","OTHELLO SD 147 *","SCHOOL DIRECTOR","1",,"0.0","0.00","0.0","0","0","Local","1625711","3839","2023-05-19T00:00:00.000",,
"Aaron Harris","2019","CITY OF SEATTLE","CITY COUNCIL MEMBER","7",,"0","0","0","0","0","Local","18653","4048",,,
"Aaron Joseph Bunn  (Aaron Joseph Bunn)","2023","CITY OF KELSO","CITY COUNCIL MEMBER","4",,"1659.00","1610.57","0.0","0","0","Local","1271512","3454","2023-05-15T00:00:00.000",,
"Aaron J Pennycooke  (Aaron Pennycooke)","2025","CITY OF OMAK","MAYOR",,,"0","0","0","0","0","Local","3331735","3824","2025-05-08T00:00:00.000",,
"Aaron J Viebrock (Aaron ""Owen"" Viebrock)","2022","DOUGLAS PUD 01 - ELE","PUBLIC UTILITY COMMISSIONER","3",,"5145.00","5107.00","0.0","0","0","Local","627302","3248","2022-05-16T00:00:00.000",,
"Aaron J Viebrock (AARON VIEBROCK)","2016","DOUGLAS PUD 01 - ELE","PUBLIC UTILITY COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","4411","3248",,,
"Aaron Leedham","2020","LEG DISTRICT 41 - HOUSE","STATE REPRESENTATIVE","2","DEMOCRATIC","0","0","0","0","0","Legislative","26011","4860",,,
"Aaron Leon Jacobson (Aaron Jacobson)","2021","HOUGHTON COMM MUNI CORP","COMMUNITY COUNCIL MEMBER","1",,"0","0","0.0","0","0","Local","93755","4526","2021-05-17T00:00:00.000",,
"Aaron Lowers","2025","CASHMERE SD 222","SCHOOL DIRECTOR","5",,"0","0","0","0","0","Local","3331661","3098","2025-05-08T00:00:00.000",,
"Aaron Marshall","2023","CITY OF SEATTLE","CITY COUNCIL MEMBER","7",,"20931.92","15992.54","0.0","0","0","Local","689618","4048","2023-05-15T00:00:00.000",,
"Aaron Matthew Croft (Aaron M. Croft)","2026","LEG DISTRICT 06 - HOUSE","STATE REPRESENTATIVE","2","INDEPENDENT","26879.02","15381.09","0.0","0","0","Legislative","3391016","4789","2026-05-08T00:00:00.000",,
"Aaron Michele Massey","2023","KENNEWICK SD 017","SCHOOL DIRECTOR","4",,"1250.00","407.00","0.0","0","0","Local","1282296","3458","2023-05-17T00:00:00.000",,
"Aaron M. Lang (Aaron Lang)","2023","RAINIER SD 307","SCHOOL DIRECTOR","1",,"0","0","0","0","0","Local","689390","3997","2023-05-15T00:00:00.000",,
"Aaron P. Shipman (Aaron Shipman)","2023","TUKWILA POOL METRO PARK DIST","PARK & RECREATION COMMISSIONER","5",,"0","0","0","0","0","Local","689901","5198","2023-05-15T00:00:00.000",,
"Aaron P. Shipman (AARON SHIPMAN)","2017","TUKWILA POOL METRO PARK DIST","PARK & RECREATION COMMISSIONER",,"NONE","0","0","0","0","0","Local","3216","5198",,,
"Aaron Reiman","2026","KITTITAS CO","COUNTY PROSECUTOR",,"INDEPENDENT","5374.60","2497.15","0.0","0","0","Local","3391656","3559","2026-05-04T00:00:00.000",,
"Aaron R Young (Aaron Young)","2026","CHELAN PUD 01 - ELE","PUBLIC UTILITY COMMISSIONER","1",,"0","0","0.0","0","0","Local","3392176","3124","2026-05-04T00:00:00.000",,
"AARON S RICHARDSON","2015","PASCO SD 001","SCHOOL DIRECTOR",,"NON PARTISAN","0.0","0.0","0.0","0","0","Local","6169","3859",,,
"Aaron Thomas (AARON THOMAS)","2018","WHATCOM CO","COUNTY COUNCIL MEMBER","At-Large Position B","DEMOCRATIC","0","0","0","0","0","Local","1025","4335",,,
"Aaron Todd Curtis (Todd Curtis)","2023","PORT OF SEATTLE","PORT COMMISSIONER","5",,"22390.77","26390.77","0.0","0","0","Local","689090","3961","2023-05-15T00:00:00.000",,
"Aaron Wells","2025","CITY OF MESA","CITY COUNCIL MEMBER","4",,"0","0","0","0","0","Local","3335796","3730","2025-05-08T00:00:00.000",,
"Aaron Williamson","2025","CITY OF CHEWELAH","MAYOR",,,"0","0","0","0","0","Local","3386533","3128","2025-10-10T00:00:00.000",,
"Aaron Wynn Stallcop","2019","GARFIELD FIRE PROT DIST 01","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","18850","3323","2019-05-16T00:00:00.000",,
"Aaron Wynn Stallcop (Aaron Stallcop)","2025","GARFIELD FIRE PROT DIST 01","FIRE COMMISSIONER","2",,"0","0","0","0","0","Local","3325956","3323","2025-05-06T00:00:00.000",,
"Aarron Fahrenkrug","2023","CITY OF PACIFIC *","CITY COUNCIL MEMBER","3",,"0","0","0","0","0","Local","1518508","3840","2023-05-19T00:00:00.000",,
"Aarron Fahrenkrug","2019","CITY OF PACIFIC *","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","23323","3840","2019-05-20T00:00:00.000",,
"Abaigeal Gourdin (Abby Gourdin)","2025","MONTESANO SD 066","SCHOOL DIRECTOR","2",,"0.0","0.00","0.0","0","0","Local","3325902","3741","2025-05-06T00:00:00.000",,
"ABBETT RICHARD E","2010","THURSTON CO","COUNTY AUDITOR",,"DEMOCRATIC","3210.68","5654.87","0.0","0","0","Local","14078","4229",,,
"ABBOTT ALBERT JR (ALBERT ABBOTT)","2015","CITY OF GIG HARBOR","CITY COUNCIL MEMBER",,"NONE","0.0","0.0","0.0","0","0","Local","5041","3327",,,
"ABBOTT CHRISTINE M","2015","OAK HARBOR SD NO 201","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","7040","3790",,,
"ABBOTT CHRISTINE M","2011","OAK HARBOR SD NO 201","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","12964","3790",,,
"ABBOTT DAVID S","2009","ASOTIN CO","COUNTY ASSESSOR",,"DEMOCRATIC","0","0","0","0","0","Local","15881","3029",,,
"ABBOTT JOE M (JOE ABBOTT)","2009","CITY OF GOLDENDALE","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","19278","3330",,,
"ABBOTT ROBERT T","2009","SAMMAMISH PLATEAU WATER/SEWER","WATER & SEWER COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","15884","3519",,,
"Abby Grende","2025","WAITSBURG SD 401-100 *","SCHOOL DIRECTOR","4",,"0","0","0","0","0","Local","3322505","4298","2025-05-05T00:00:00.000",,
"Abby Grende","2023","WAITSBURG SD 401-100 *","SCHOOL DIRECTOR","4",,"0","0","0","0","0","Local","2078464","4298","2023-05-15T00:00:00.000",,
"Abby Leigh Antonelis","2025","VASHON-MAURY PARK & REC DIST","PARK & RECREATION COMMISSIONER","4",,"0","0","0","0","0","Local","3323331","4523","2025-05-05T00:00:00.000",,
"Abby Leigh Antonelis (ABBY ANTONELIS)","2017","VASHON-MAURY PARK & REC DIST","PARK & RECREATION COMMISSIONER",,"NONE","0","0","0","0","0","Local","3254","4523",,,
"Abby London","2021","CITY OF KENMORE","CITY COUNCIL MEMBER","4",,"4186.01","3192.53","0.0","0","0","Local","458187","5013","2021-05-21T00:00:00.000",,
"Abby M Garland (ABBY GARLAND)","2018","CITY OF POULSBO","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","20060","3979",,,
"ABDI AHMED I (AHMED ABDI)","2017","PORT OF SEATTLE","PORT COMMISSIONER",,"NON PARTISAN","34898.14","33398.14","0.0","1910.35","0","Local","2808","3961",,,
"Abdifatah Mohamedhaji","2021","CITY OF BURIEN","CITY COUNCIL MEMBER","1",,"0","0","0","0","0","Local","458242","4713","2021-05-20T00:00:00.000",,
"Abel Jim Campos  (ABEL CAMPOS)","2017","CITY OF PASCO","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","2535","3858",,,
"Abel Jim Campos  (CAMPOS ABEL J)","2019","CITY OF PASCO","CITY COUNCIL MEMBER","7",,"0","0","0","0","0","Local","19098","3858","2019-05-17T00:00:00.000",,
"ABERCROMBIE KERRY C","2019","KING FIRE PROT DIST 25","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","24810","3485","2019-05-20T00:00:00.000",,
"ABERCROMBIE KERRY C","2015","KING FIRE PROT DIST 25","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","7041","3485",,,
"Abigail Drivdahl","2023","CITY OF FIFE","CITY COUNCIL MEMBER","6",,"0","0","0","0","0","Local","737899","3299","2023-05-15T00:00:00.000",,
"Abigail E. Bartlett","2026","CLARK CO DISTRICT COURT","DISTRICT COURT JUDGE",,,"0","0","0","0","0","Judicial","3392880","3148","2026-05-05T00:00:00.000",,
"Abigail E. Bartlett (Abigail Elizabeth Bartlett)","2022","CLARK CO DISTRICT COURT","DISTRICT COURT JUDGE","6",,"0","0","0","0","0","Judicial","567846","3148","2022-05-16T00:00:00.000",,
"Abigail Lindberg","2023","METROPOLITAN PARK DIST TACOMA","PARK & RECREATION COMMISSIONER","3",,"0","0","0","0","0","Local","3238963","3734","2023-05-18T00:00:00.000",,
"Abigail Lindberg","2023","Odessa Metropolitan Park District","PARK & RECREATION COMMISSIONER","3",,"0","0","0","0","0","Local","3236493","5240","2023-05-18T00:00:00.000",,
"Abigail Mercure","2025","GRAYS HARBOR HOSP DIST 02","HOSPITAL COMMISSIONER","2",,"0","0","0","0","0","Local","3331658","5191","2025-05-08T00:00:00.000",,
"ABOUBAKR CONSTANCE R (CONSTANCE ABOUBAKR)","2009","TOWN OF STEILACOOM","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","19279","4183",,,
"ABOUBAKR JOE K (JOE ABOUBAKR)","2017","TOWN OF STEILACOOM","CITY COUNCIL MEMBER",,"DEMOCRATIC","0","0","0","0","0","Local","3490","4183",,,
"ABRAHAM DEBORAH A","2013","CLARK CO","COUNTY CHARTER REVIEW COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","10098","3147",,,
"Abraham Meyer","2025","LEWIS FIRE PROT DIST 06","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","3333375","3635","2025-05-09T00:00:00.000",,
"Abraham Meyer","2023","LEWIS FIRE PROT DIST 06","FIRE COMMISSIONER","3",,"0","0","0","0","0","Local","1032514","3635","2023-05-17T00:00:00.000",,
"Abraham Meyer","2019","LEWIS FIRE PROT DIST 06","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","24651","3635","2019-05-15T00:00:00.000",,
"ABRAMOSKI ROBERT (ROBERT ABRAMOSKI)","2015","CITY OF CASHMERE","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","19246","3097",,,
"A. Breane Martinez (Breane Martinez)","2021","NORTH KITSAP SD 400","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","132502","3781","2021-05-18T00:00:00.000",,
"A. Breane Martinez (Breane Martinez)","2019","NORTH KITSAP SD 400","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","23353","3781","2019-05-16T00:00:00.000",,
"ABROM TIMOLIN (TIMOLIN ABROM)","2011","SOUTH KING FIRE & RESCUE","FIRE COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","11137","5107",,,
"Ace Harry Haynes","2022","LEG DISTRICT 23 - HOUSE","STATE REPRESENTATIVE","1","REPUBLICAN","0","0","0","0","0","Legislative","529679","3558","2022-05-19T00:00:00.000",,
"Ace Harry Haynes (Ace Haynes)","2024","LEG DISTRICT 23 - SENATE","STATE SENATOR",,,"0","0","0","0","0","Legislative","3311401","4752","2024-05-10T00:00:00.000",,
"Ace Harry Haynes (Ace Haynes)","2024","LEG DISTRICT 23 - HOUSE","STATE REPRESENTATIVE","1","REPUBLICAN","0","0","0","0","0","Legislative","3253600","3558",,,
"Ace Harry Haynes (Ace Haynes)","2020","LEG DISTRICT 23 - HOUSE","STATE REPRESENTATIVE","1","REPUBLICAN","0","0","0","0","0","Legislative","92979","3558","2020-10-15T00:00:00.000",,
"ACERO SHELLEY","2013","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","10096","3754",,,
"ACERO SHELLEY (Shelley Acero)","2019","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER","City Council Member District 1, Position 1",,"0","0","0","0","0","Local","18585","3754","2019-05-16T00:00:00.000",,
"ACERO SHELLEY (SHELLEY ACERO)","2018","SKAGIT CO","COUNTY CHARTER REVIEW COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","2010","4064",,,
"ACERO SHELLEY (SHELLEY ACERO)","2017","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","2318","3754",,,
"ACEY WILLIAM D (WILLIAM  ACEY)","2012","ASOTIN/COLUMBIA/GARFIELD CO SUPERIOR COURT *","SUPERIOR COURT JUDGE",,"NON PARTISAN","0","0","0","0","0","Judicial","10131","3031",,,
"ACKERMAN LAURA (LAURA ACKERMAN)","2009","ASOTIN-ANATONE SD 420","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","19280","3033",,,
"ACKERMAN MIRANDA","2017","SPOKANE SD 081","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","4051","4169",,,
"ACKER THOMAS J","2015","CITY OF MERCER ISLAND","CITY COUNCIL MEMBER",,"NON PARTISAN","28280.00","28280.00","0.0","0","0","Local","7038","3727",,,
"ACKER THOMAS J (TOM ACKER)","2017","CITY OF MERCER ISLAND","CITY COUNCIL MEMBER",,"NONE","16380.00","16183.30","0.0","0","0","Local","2181","3727",,,
"ACORD KEITH","2017","WEST VALLEY SD 363","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","4050","4333",,,
"Adair Hawkins","2023","CITY OF CARNATION","CITY COUNCIL MEMBER","1",,"0","0","0","0","0","Local","741402","3093","2023-05-15T00:00:00.000",,
"Adair Hawkins","2019","CITY OF CARNATION","CITY COUNCIL MEMBER",,,"0","0","0","0","0","Local","25179","3093",,,
"A. DALE RAGAN","2013","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","9256","3754",,,
"A. DALE RAGAN","2011","CITY OF MOUNT VERNON","MAYOR",,"NON PARTISAN","0.0","0.0","0.0","0","0","Local","11650","3754",,,
"A. DALE RAGAN","2009","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER",,"NON PARTISAN","0.0","0.0","0.0","0","0","Local","14579","3754",,,
"A. DALE RAGAN (Dale Ragan)","2025","SKAGIT HOSP DIST 01","HOSPITAL COMMISSIONER","4",,"0","0","0","0","0","Local","3323165","4089","2025-05-05T00:00:00.000",,
"A. DALE RAGAN (Dale Ragan)","2019","SKAGIT HOSP DIST 01","HOSPITAL COMMISSIONER","4",,"0","0","0.0","0","0","Local","23856","4089","2019-05-13T00:00:00.000",,
"A. DALE RAGAN (DALE RAGAN)","2018","SKAGIT CO","COUNTY CHARTER REVIEW COMMISSIONER",,"NONE","0","0","0","0","0","Local","1905","4064",,,
"A. DALE RAGAN (DALE RAGAN)","2017","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER",,"NONE","0","0","0","0","0","Local","2192","3754",,,
"Adalia A. Hille","2018","ADAMS CO DISTRICT COURT","DISTRICT COURT JUDGE","1","NON PARTISAN","0","0","0","0","0","Judicial","343","5224",,,
"Adam A Walser (Adam Walser)","2024","LINCOLN CO SUPERIOR COURT","SUPERIOR COURT JUDGE",,,"0","0","0","0","0","Judicial","3288008","3657","2024-05-06T00:00:00.000",,
"Adam A Walser (Adam Walser)","2022","LINCOLN CO","COUNTY PROSECUTOR",,"REPUBLICAN","0","0","0","0","0","Local","567435","3655","2022-05-16T00:00:00.000",,
"Adam A Walser (Adam Walser)","2021","LINCOLN CO","COUNTY PROSECUTOR",,"REPUBLICAN","0","0","0","0","0","Local","93186","3655","2021-05-17T00:00:00.000",,
"Adam Bartholomew","2020","LEG DISTRICT 01 - HOUSE","STATE REPRESENTATIVE","1","REPUBLICAN","5266.79","4626.48","0.0","0","0","Legislative","70235","4779",,,
"Adam Bernbaum","2026","LEG DISTRICT 24 - HOUSE","STATE REPRESENTATIVE","1","DEMOCRATIC","50184.03","4133.55","0.0","0","0","Legislative","3356526","4825","2026-05-05T00:00:00.000",,
"Adam Bernbaum","2024","LEG DISTRICT 24 - HOUSE","STATE REPRESENTATIVE","1","DEMOCRATIC","220712.35","188433.67","0.0","91059.50","0","Legislative","3253661","4825","2024-05-06T00:00:00.000",,
"Adam Brown","2023","DOUGLAS FIRE PROT DIST 01","FIRE COMMISSIONER","1",,"0","0","0","0","0","Local","2078933","3240","2023-05-15T00:00:00.000",,
"Adam Brown (Adam L. Brown)","2025","DOUGLAS HOSP DIST 2","HOSPITAL COMMISSIONER","3",,"0","0","0","0","0","Local","3322511","3247","2025-05-05T00:00:00.000",,
"Adam Carney","2025","CITY OF TENINO","CITY COUNCIL MEMBER","3",,"0","0","0","0","0","Local","3323741","4223","2025-05-05T00:00:00.000",,
"Adam C Barr (Adam Barr)","2023","TENINO SD 402","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","1032441","4224","2023-05-17T00:00:00.000",,
"Adam C Barr (Adam Barr)","2019","TENINO SD 402","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","23647","4224","2019-05-17T00:00:00.000",,
"Adam C. Fortney (Adam Fortney)","2027","SNOHOMISH CO","COUNTY SHERIFF",,,"15336.71","9575.45","300.00","0","0","Local","3391389","4107",,,
"Adam C. Fortney (Adam Fortney)","2023","SNOHOMISH CO","COUNTY SHERIFF",,,"214138.40","213621.20","0.0","49220.03","20075.01","Local","567618","4107","2023-05-15T00:00:00.000",,
"Adam C. Fortney (ADAM FORTNEY)","2019","SNOHOMISH CO","COUNTY SHERIFF",,"NON PARTISAN","35307.79","37116.58","0.0","0","0","Local","1349","4107","2019-05-15T00:00:00.000",,
"Adam C. Johnson","2022","LINCOLN CO","COUNTY SHERIFF",,"REPUBLICAN","0","0","0","0","0","Local","567872","3655","2022-05-16T00:00:00.000",,
"Adam Cornell (ADAM CORNELL)","2022","SNOHOMISH CO","COUNTY PROSECUTOR",,"DEMOCRATIC","0.0","5000.00","0.0","0","0","Local","1082","4107",,,
"Adam Cornell (ADAM CORNELL)","2018","SNOHOMISH CO","COUNTY PROSECUTOR",,"DEMOCRATIC","87607.09","82607.09","0.0","791.83","0","Local","808","4107",,,
"Adam Cornell (ADAM CORNELL)","2015","CITY OF EDMONDS","CITY COUNCIL MEMBER",,"NON PARTISAN","0","0","0","0","0","Local","5182","3261",,,
"Adam D. Olen (Adam Olen)","2025","CITY OF DUVALL","CITY COUNCIL MEMBER","1",,"1179.86","869.46","0.0","0","0","Local","3322037","3250","2025-05-05T00:00:00.000",,
"Adam Dunn","2025","GREEN MTN SD 103","SCHOOL DIRECTOR","1",,"0","0","0","0","0","Local","3328618","3396","2025-05-06T00:00:00.000",,
"Adam Eisenberg","2022","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE","3",,"74301.82","84998.12","0.00","0","0","Judicial","567244","4628","2022-05-16T00:00:00.000",,
"Adam Eisenberg (ADAM EISENBERG)","2018","SEATTLE MUNICIPAL COURT","MUNICIPAL COURT JUDGE","3","NON PARTISAN","1566.33","3102.72","0.0","791.83","0","Judicial","645","4628",,,
"Adam Florenzen","2025","ALMIRA SD 017-158 *","SCHOOL DIRECTOR","4",,"0","0","0","0","0","Local","3323933","3021","2025-05-05T00:00:00.000",,
"Adam Foged","2025","TOWN OF MANSFIELD","CITY COUNCIL MEMBER","2",,"0","0","0","0","0","Local","3323856","3689","2025-05-05T00:00:00.000",,
"Adam Garcia","2021","CITY OF PORT ANGELES","CITY COUNCIL MEMBER","1",,"1625.00","1113.46","0.0","0","0","Local","123080","3916","2021-05-17T00:00:00.000",,
"Adam Hutchinson Sr.","2023","TOLEDO SD 237","SCHOOL DIRECTOR","2",,"0","0","0","0","0","Local","1084825","4252","2023-05-17T00:00:00.000",,
"Adam J Tibbs (Adam Tibbs)","2025","OKANOGAN HOSP DIST 4","HOSPITAL COMMISSIONER","5",,"0","0","0","0","0","Local","3335263","3815","2025-05-09T00:00:00.000",,
"Adam J Tibbs (Adam Tibbs)","2019","OKANOGAN HOSP DIST 4","HOSPITAL COMMISSIONER",,,"0","0","0","0","0","Local","24149","3815","2019-05-16T00:00:00.000",,
"Adam J Tibbs (ADAM TIBBS)","2017","OKANOGAN HOSP DIST 4","HOSPITAL COMMISSIONER",,"NONE","0","0","0","0","0","Local","3278","3815",,,
"Adam K. Bigby (ADAM BIGBY)","2017","GRAYS HARBOR FIRE DIST 02","FIRE COMMISSIONER",,,"0","0","0","0","0","Local","19523","3373",,,
"Adam Kirtley","2021","CITY OF WALLA WALLA","CITY COUNCIL MEMBER","2",,"13229.95","13032.95","0.0","52.72","0","Local","93838","4301","2021-05-18T00:00:00.000",,
"Adam Knez","2023","VASHON FIRE & RESCUE","FIRE COMMISSIONER","4",,"0","0","0","0","0","Local","1625494","3479","2023-05-18T00:00:00.000",,"2023-06-06T00:00:00.000"
"Adam Labes","2025","LIND CONSOL SD 158","SCHOOL DIRECTOR","3",,"0","0","0","0","0","Local","3323727","3670","2025-05-05T00:00:00.000",,
"Adam Llyode Winn (Adam Winn)","2021","CITY OF ELLENSBURG","CITY COUNCIL MEMBER","3",,"11405.00","11319.70","0.0","0","0","Local","197396","3266","2021-05-18T00:00:00.000",,
"Adam Lyons","2025","TOWN OF LIND","MAYOR",,,"0","0","0","0","0","Local","3331762","3669","2025-05-07T00:00:00.000",,
"Adam Marshall Eltinge","2015","SAN JUAN ISL PARK & REC DIST","PARK & RECREATION COMMISSIONER",,"NON PARTISAN","0","0","0","0","0","Local","6772","4649",,,
"Adam Marshall Eltinge (Adam Eltinge)","2023","SAN JUAN ISL PARK & REC DIST","PARK & RECREATION COMMISSIONER","4",,"0.0","0.00","0.0","0","0","Local","689431","4649","2023-05-15T00:00:00.000",,
"Adam Marshall Eltinge (ELTINGE ADAM M)","2019","SAN JUAN ISL PARK & REC DIST","PARK & RECREATION COMMISSIONER",,,"0","0","0","0","0","Local","24746","4649","2019-05-13T00:00:00.000",,
"Adam Matthews","2025","TOWN OF TEKOA","CITY COUNCIL MEMBER","7",,"0","0","0","0","0","Local","3335768","4221","2025-05-09T00:00:00.000",,
"Adam McCourt","2025","PORT OF TRACYTON 15","PORT COMMISSIONER","3",,"0.0","0.00","0.0","0","0","Local","3335432","3969","2025-05-08T00:00:00.000",,
"Adam Mortensen","2023","WEST VALLEY SD 363","SCHOOL DIRECTOR","4",,"0","0","0","0","0","Local","1032004","4333","2023-05-16T00:00:00.000",,
"Adam Mortensen","2015","WEST VALLEY SD 363","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","6324","4333",,,
"Adam Mortensen","2013","WEST VALLEY SD 363","SCHOOL DIRECTOR",,"NON PARTISAN","0","0","0","0","0","Local","9392","4333",,,
"Adam Mortensen (MORTENSEN ADAM W)","2019","WEST VALLEY SD 363","SCHOOL DIRECTOR",,,"0","0","0","0","0","Local","24330","4333","2019-05-14T00:00:00.000",,
"Adam Nathaniel Kick","2022","SKAMANIA CO","COUNTY PROSECUTOR",,,"0","0","0","0","0","Local","651953","4093","2022-05-19T00:00:00.000",,
"Adam Nathaniel Kick","2010","SKAMANIA CO","COUNTY PROSECUTOR",,"DEMOCRATIC","17414.65","17089.61","0.0","0","0","Local","13553","4093",,,
"Adam Nathaniel Kick (ADAM KICK)","2018","SKAMANIA CO","COUNTY PROSECUTOR",,"DEMOCRATIC","3598.87","2813.18","0.0","0","0","Local","899","4093",,,
"Adam Nathaniel Kick (ADAM KICK)","2014","SKAMANIA CO","COUNTY PROSECUTOR",,"DEMOCRATIC","0","0","0","0","0","Local","7078","4093",,,
"Adam Nathaniel Kick (Adam N. Kick)","2026","SKAMANIA CO","COUNTY PROSECUTOR",,"NONE","0","0","0","0","0","Local","3393599","4093","2026-05-07T00:00:00.000",,
"Adam Pearson","2025","CITY OF MOUNT VERNON","CITY COUNCIL MEMBER","City Council Member District 2, Position 2",,"7415.19","4857.04","0.0","7046.70","0","Local","3322293","3754","2025-05-05T00:00:00.000",,
"Adam Ragheb","2025","CITY OF MERCER ISLAND","CITY COUNCIL MEMBER","7",,"23068.71","21725.27","0.0","0","0","Local","3322595","3727","2025-05-05T00:00:00.000",,
"Adam Ragheb","2021","CITY OF MERCER ISLAND","CITY COUNCIL MEMBER","6",,"395.96","395.96","0.0","0","0","Local","241375","3727","2021-05-19T00:00:00.000",,
"Adam Richard Morgan (Adam Morgan)","2021","CITY OF MILL CREEK","CITY COUNCIL MEMBER","6",,"0","0","0","8474.00","0","Local","93586","4533","2021-05-18T00:00:00.000",,
